Name,Type,Value,LCA,ESM
NG_Boiler,Construction,0.1,unit,kW
NG_Boiler,Operation,3.6,MJ,kWh
OIL_Boiler,Construction,0.1,unit,kW
OIL_Boiler,Operation,3.6,MJ,kWh
WOOD_Stove,Construction,0.02,unit,kW
WOOD_Stove,Operation,3.6,MJ,kWh
HeatPump_Air,Construction,0.1,unit,kW
HeatPump_Lake,Construction,0.1,unit,kW
HeatPump_Geothermal,Construction,0.1,unit,kW
HeatPump_DHN,Construction,0.033333333,unit,kW
HeatPump_Anergy,Construction,0.1,unit,kW
HeatPump_Air,Operation,3.6,MJ,kWh
HeatPump_Lake,Operation,3.6,MJ,kWh
HeatPump_Geothermal,Operation,3.6,MJ,kWh
HeatPump_DHN,Operation,3.6,MJ,kWh
HeatPump_Anergy,Operation,3.6,MJ,kWh
Air_Conditioner_Air,Construction,0.1,unit,kW
Air_Conditioner_DHN,Construction,0.1,unit,kW
Air_Conditioner_Air,Operation,3.6,MJ,kWh
Air_Conditioner_DHN,Operation,3.6,MJ,kWh
ElectricalHeater_SH,Construction,0.1,unit,kW
ElectricalHeater_DHW,Construction,0.1,unit,kW
ElectricalHeater_SH,Operation,1,kWh,kWh
ElectricalHeater_DHW,Operation,1,kWh,kWh
PV,Construction,0.000769231,unit,kW
PV,Operation,1,kWh,kWh
ThermalSolar,Construction,1.428571429,m2,m2
NG_Cogeneration_Elec,Construction,1,unit,unit
NG_Cogeneration_Heat,Construction,1,unit,unit
NG_Cogeneration_CHP,Construction,1,unit,unit
NG_Cogeneration,Construction,0.0192,unit,kW
NG_Cogeneration,Operation,15.80333626,MJ,kWh
Battery,Construction,8.771929825,kg,kWh
WaterTankSH,Construction,1.666666667,unit,m3
WaterTankDHW,Construction,1.666666667,unit,m3
Battery_district,Construction,8.771929825,kg,kWh
NG_Cogeneration_district_Elec,Construction,1,unit,unit
NG_Cogeneration_district_Heat,Construction,1,unit,unit
NG_Cogeneration_district_CHP,Construction,1,unit,unit
NG_Cogeneration_district,Construction,0.0192,unit,kW
NG_Cogeneration_district,Operation,15.80333626,kWh,kWh
HeatPump_Geothermal_district,Construction,0.1,unit,kW
HeatPump_Geothermal_district,Operation,3.6,MJ,kWh
NG_Boiler_district,Construction,0.1,unit,kW
NG_Boiler_district,Operation,3.6,MJ,kWh
NaturalGas,Resource,0.098244373,m3,kWh
Oil,Resource,0.084507042,kg,kWh
Wood,Resource,0.233766234,kg,kWh
Hydrogen,Resource,0.03003003,kg,kWh
Biogas,Resource,0.098244373,m3,kWh
Heat,Resource,3.6,MJ,kWh
Water,Resource,1,kg,kg
Electricity,Resource,1,kWh,kWh
Ambient_Heat,Other,3.6,MJ,kWh
