Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,0,0.0,0.0,0.0,10
Battery_Building3,0,0.0,0.0,0.0,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,1,79.61917893494,812.8160232104384,0.03980958947,20
DHN_hex_in_Building2,1,13.77608139119,148.43109558931195,0.0068880407,20
DHN_hex_in_Building3,1,11.27849054229,123.22933903054643,0.00563924527,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,398.09589467468,0.0,0.06634931578,60
DHN_pipes_Building2,1,68.88040695595,0.0,0.01148006783,60
DHN_pipes_Building3,1,56.39245271146,0.0,0.00939874212,60
DHN_pipes_district,0,0.0,0.0,0.0,60
EV_district,0,0.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building3,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building3,0,0.0,0.0,0.0,20
HeatPump_Air_Building1,1,56.59400113581,4615.297579622665,390.64009283996,20
HeatPump_Air_Building2,1,7.31823963924,1485.6292066875196,50.51414910982,20
HeatPump_Air_Building3,1,6.155551081,1411.7829687445706,42.48869133657,20
HeatPump_DHN_Building1,0,0.0,0.0,0.0,20
HeatPump_DHN_Building2,0,0.0,0.0,0.0,20
HeatPump_DHN_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building1,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_district,0,0.0,0.0,0.0,25
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_district,0,0.0,0.0,0.0,25
PV_Building1,1,66.0,4730.514810476908,2640.0,25
PV_Building2,1,160.0,10989.652385082543,6400.0,25
PV_Building3,1,44.0,3265.6102717394183,1760.0,25
ThermalSolar_Building1,0,0.0,0.0,0.0,20
ThermalSolar_Building2,0,0.0,0.0,0.0,20
ThermalSolar_Building3,0,0.0,0.0,0.0,20
WOOD_Stove_Building1,0,0.0,0.0,0.0,20
WOOD_Stove_Building2,0,0.0,0.0,0.0,20
WOOD_Stove_Building3,0,0.0,0.0,0.0,20
WaterTankDHW_Building1,1,9.408,4963.67967071356,566.3616,20
WaterTankDHW_Building2,1,0.87176021333,482.94720143415947,52.47996484267,20
WaterTankDHW_Building3,1,0.65380813544,368.54261855491427,39.35924975366,20
WaterTankSH_Building1,1,5.35390852515,619.597949549349,322.30529321405,20
WaterTankSH_Building2,1,0.69232047226,143.4933934717205,41.67769243023,20
WaterTankSH_Building3,1,0.58232775114,132.2594459270297,35.05613061874,20
