0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
,,,,,,,,,,,,,,,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,LTBDV,TTEQ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
HTXCS,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,,
HTXCS,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,,
HTXCS,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,,
TTHH,,,,,,,,,,,,,,,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,LTBDV,TTEQ,
,,,,,,,,,,,,,,,
CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,MEU,OLD,FWA,PMF,TRA,FWEU,LTBDV,TTEQ
HTXCS,FWEXL,IREQ,IRHH,LOBDV,TPW,WAVFWES,WAVHH,TTHH,,,,,,,
